Scott Carson
Ashley Young
James Philip Milner
Jordan Brian Henderson
Jonny Evans
Daniel Nii Tackie Mensah Welbeck
Asmir Begović
Joel Ward
Łukasz Fabiański
Séamus Coleman
Raheem Shaquille Sterling
Michael Keane
John Ruddy
Kyle Andrew Walker
Chris Wood
Jeffrey Schlupp
Luke Shaw
Ross Barkley
John Stones
Ben Davies
Christian Dannemann Eriksen
Andreas Hoelgebaum Pereira
Sam Johnstone
Kieran Trippier
Jack Robinson
Idrissa Gana Gueye
Jordan Ayew
Thomas Ince
Callum Wilson
Andrew Robertson
Tyrone Mings
Adam Smith
Jack Grealish
Alex McCarthy
James Ward-Prowse
Patrick Bamford
Jamie Vardy
Craig Dawson
Nathaniel Edwin Clyne
Fraser Forster
Aaron Cresswell
Willian Borges da Silva
Damián Emiliano Martínez
Kevin De Bruyne
Moussa Sissoko
Matt Targett
Jack Stephens
Karl Darlow
Harrison Reed
Shane Duffy
Ashley Barnes
Daniel William John Ings
Joe Gomez
Tom Heaton
Jarrod Bowen
Ben Chilwell
James Tarkowski
Mason Holgate
Tom Davies
Harry Winks
Virgil van Dijk
Jérémy Pied
Jordan Pickford
Lewis Cook
Nathan Aké
Marcus Rashford
Alex Iwobi
Granit Xhaka
Rob Holding
Chuba Akpom
Trent Alexander-Arnold
Michail Antonio
Sam Byram
Arthur Masuaku
Temitayo Olufisayo Olaoluwa Aina
Abdoulaye Doucouré
Tom Cairney
Will Hughes
Solomon March
Lewis Dunk
Jason Steele
Ryan Fraser
Nick Pope
Dan Burn
David Button
Harry Maguire
Simon Moore
Joe Wildsmith
Adam Armstrong
Isaac Hayden
Christian Walton
Matz Sels
Jamaal Lascelles
Conor Coady
Nahki Wells
Jacob Murphy
David Raya Martin
Bobby Reid
Sam Morsy
Ben White
Marcus Bettinelli
Danny Ward
Alex Mowatt
Charlie Taylor
Daniel Bentley
Kalvin Phillips
Alan Browne
Wesley Foderingham
George Long
Matt Doherty
James Shea
Mohamed Salah Ghaly
Dominic Solanke
Adama Traoré Diarra
Josh Cullen
Bertrand Isidore Traoré
Patrick Roberts
Heung-Min Son
Freddie Woodman
Axel Tuanzebe
Darnell Furlong
Alex Palmer
Kyle Walker-Peters
İlkay Gündoğan
Dominic Calvert-Lewin
Daniel James
Oluwatosin Adarabioyo
Josh Maja
Aaron Wan-Bissaka
Declan Rice
Onyinye Wilfred Ndidi
Gabriel Fernando de Jesus
Harry Wilson
Connor Roberts
Jordan Clark
Alex Cairns
Adam Davies
Conor Townsend
Jack Stacey
Luke O'Nien
Thomas King
Wes Burns
Karlan Ahearne-Grant
Philip Billing
Jed Wallace
Kortney Hause
Jerry Yates
Adam Webster
James Bree
Hamza Choudhury
Matty Cash
Kouassi Ryan Sessegnon
James Maddison
Ezri Konsa Ngoyo
Joe Worrall
Jacob Brown
Ellery Balcombe
George Hirst
Ryan Manning
Eberechi Eze
Lloyd Kelly
Ben Brereton
Mark Gillespie
Morgan Gibbs-White
Josh Laurent
Rico Henry
Callum O'Hare
Samuel Szmodics
Devante Cole
Remi Matthews
Aaron Ramsdale
Tom Lockyer
David Brooks
Joe Aribo
Callum Styles
Harvey Lewis Barnes
Stephy Alvaro Mavididi
Ryan Yates
Ollie Watkins
Conor Chaplin
James Justin
Ethan Ampadu
Dean Henderson
Jack Taylor
Ethan Pinnock
Nathan Baxter
Cedric Kipre
Marco Bizot
Joël Veltman
Marvelous Nakamba
Joachim Andersen
Kenny Tete
Ferdi Erenay Kadıoğlu
Enes Ünal
André Onana
Taiwo Michael Awoniyi
Oleksandr Zinchenko
Matthijs de Ligt
Justin Kluivert
